ID,city_names,Latitude,Longitude,Temp j0,Temp j+1,Temp j+2,Temp j+3,Temp j+4,Temp j+5,Temp j+6,Temp j+7,Alerte j0,Alerte j+1,Alerte j+2,Alerte j+3,Alerte j+4,Alerte j+5,Alerte j+6,Alerte j+7,Avg Temp
0,Mont Saint Michel,48.6355232,-1.5102571,16.68,15.56,15.18,15.77,15.99,16.69,16.43,16.21,few clouds,scattered clouds,overcast clouds,clear sky,overcast clouds,scattered clouds,overcast clouds,scattered clouds,16.06375
1,St Malo,48.649518,-2.0260409,15.78,15.64,15.53,14.84,14.58,15.35,15.65,15.74,few clouds,scattered clouds,overcast clouds,clear sky,overcast clouds,broken clouds,overcast clouds,scattered clouds,15.38875
2,Bayeux,49.2764624,-0.7024738,14.96,15.68,14.89,15.79,15.19,16.4,15.93,16.06,broken clouds,broken clouds,light rain,clear sky,overcast clouds,scattered clouds,broken clouds,clear sky,15.6125
3,Le Havre,49.4938975,0.1079732,14.5,14.69,14.5,14.41,14.44,14.49,14.85,15.18,light rain,broken clouds,overcast clouds,clear sky,overcast clouds,overcast clouds,broken clouds,clear sky,14.632499999999997
4,Rouen,49.4404591,1.0939658,14.67,14.94,14.05,15.45,15.68,13.97,14.85,15.4,broken clouds,overcast clouds,light rain,scattered clouds,overcast clouds,overcast clouds,overcast clouds,clear sky,14.876249999999999
5,Paris,48.8566969,2.3514616,15.58,14.35,13.64,15.4,15.89,16.08,14.78,15.47,broken clouds,broken clouds,overcast clouds,few clouds,overcast clouds,overcast clouds,scattered clouds,clear sky,15.14875
6,Amiens,49.8941708,2.2956951,14.73,14.24,13.31,15.56,16.08,14.26,14.31,14.94,overcast clouds,overcast clouds,overcast clouds,few clouds,light rain,overcast clouds,scattered clouds,clear sky,14.67875
7,Lille,50.6365654,3.0635282,15.18,12.4,12.97,16.28,15.09,13.11,14.29,15.69,overcast clouds,light rain,overcast clouds,scattered clouds,light rain,overcast clouds,scattered clouds,clear sky,14.376249999999999
8,Strasbourg,48.584614,7.7507127,13.3,12.42,12.17,13.53,13.65,14.06,13.03,13.38,broken clouds,light rain,light rain,few clouds,broken clouds,clear sky,broken clouds,scattered clouds,13.1925
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,11.56,8.34,9.14,10.63,12.21,11.44,10.61,10.76,scattered clouds,light rain,light rain,few clouds,broken clouds,scattered clouds,broken clouds,few clouds,10.586250000000001
